date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:51:35	22259/22259	---M--	200	added ('OK')	image/jpeg	etag:%2256f3-58a21877f7f78%22	http://demo.themeforshop.com/html_fastfood/assets/images/gallery-4.jpg	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/gallery-4.jpg	(from http://demo.themeforshop.com/html_fastfood/)
18:51:37	49892/49892	---M--	200	added ('OK')	image/jpeg	etag:%22c2e4-58a21877d06a8%22	http://demo.themeforshop.com/html_fastfood/assets/images/gallery-4-big.jpg	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/gallery-4-big.jpg	(from http://demo.themeforshop.com/html_fastfood/)
18:51:40	42897/42897	---M--	200	added ('OK')	image/jpeg	etag:%22a791-58a21877e1fe8%22	http://demo.themeforshop.com/html_fastfood/assets/images/gallery-5.jpg	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/gallery-5.jpg	(from http://demo.themeforshop.com/html_fastfood/)
18:51:42	31743/31743	---M--	200	added ('OK')	image/jpeg	etag:%227bff-58a21877d4910%22	http://demo.themeforshop.com/html_fastfood/assets/images/gallery-6.jpg	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/gallery-6.jpg	(from http://demo.themeforshop.com/html_fastfood/)
18:51:43	53955/53955	---M--	200	added ('OK')	image/jpeg	etag:%22d2c3-58a21877d1260%22	http://demo.themeforshop.com/html_fastfood/assets/images/gallery-6-big.jpg	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/gallery-6-big.jpg	(from http://demo.themeforshop.com/html_fastfood/)
18:51:44	2095/2095	---M--	200	added ('OK')	image/png	etag:%2282f-58a21877ecbc8%22	http://demo.themeforshop.com/html_fastfood/assets/images/logo_footer.png	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/logo_footer.png	(from http://demo.themeforshop.com/html_fastfood/)
18:51:45	91289/91289	---M--	200	added ('OK')	image/jpeg	etag:%2216499-58a21877df8d8%22	http://demo.themeforshop.com/html_fastfood/assets/images/gallery-5-big.jpg	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/gallery-5-big.jpg	(from http://demo.themeforshop.com/html_fastfood/)
18:51:45	62777/62777	---M-Z	200	added ('OK')	text/html	etag:%22f539-58a2187803328-gzip%22	http://demo.themeforshop.com/html_fastfood/article.html	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/article.html	(from http://demo.themeforshop.com/html_fastfood/)
18:51:46	3528/3528	---M--	200	added ('OK')	image/jpeg	etag:%22dc8-58a21877d2200%22	http://demo.themeforshop.com/html_fastfood/assets/images/blog-01.jpg	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/blog-01.jpg	(from http://demo.themeforshop.com/html_fastfood/)
18:51:47	2962/2962	---M--	200	added ('OK')	image/jpeg	etag:%22b92-58a21877c4f10%22	http://demo.themeforshop.com/html_fastfood/assets/images/blog-04.jpg	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/blog-04.jpg	(from http://demo.themeforshop.com/html_fastfood/)
18:51:47	3756/3756	---M--	200	added ('OK')	image/jpeg	etag:%22eac-58a21877eeef0%22	http://demo.themeforshop.com/html_fastfood/assets/images/blog-03.jpg	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/blog-03.jpg	(from http://demo.themeforshop.com/html_fastfood/)
18:51:47	40434/40434	---M-Z	200	added ('OK')	text/html	etag:%229df2-58a21878071a8-gzip%22	http://demo.themeforshop.com/html_fastfood/account.html	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/account.html	(from http://demo.themeforshop.com/html_fastfood/)
18:51:48	43192/43192	---M-Z	200	added ('OK')	text/html	etag:%22a8b8-58a21878013e8-gzip%22	http://demo.themeforshop.com/html_fastfood/login.html	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/login.html	(from http://demo.themeforshop.com/html_fastfood/)
18:51:48	180/180	---M--	200	added ('OK')	image/png	etag:%22b4-58a21877bab00%22	http://demo.themeforshop.com/html_fastfood/assets/images/black.png	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/black.png	(from http://demo.themeforshop.com/html_fastfood/)
18:51:49	724/724	---M--	200	added ('OK')	image/png	etag:%222d4-58a21877e1818%22	http://demo.themeforshop.com/html_fastfood/assets/images/soldout.png	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/soldout.png	(from http://demo.themeforshop.com/html_fastfood/)
18:51:50	202/202	---M--	200	added ('OK')	image/png	etag:%22ca-58a21877d9730%22	http://demo.themeforshop.com/html_fastfood/assets/images/red.png	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/red.png	(from http://demo.themeforshop.com/html_fastfood/)
18:51:50	199/199	---M--	200	added ('OK')	image/png	etag:%22c7-58a21877bc270%22	http://demo.themeforshop.com/html_fastfood/assets/images/blue.png	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/blue.png	(from http://demo.themeforshop.com/html_fastfood/)
18:51:51	225/225	---M--	200	added ('OK')	image/png	etag:%22e1-58a21877f21b8%22	http://demo.themeforshop.com/html_fastfood/assets/images/yellow.png	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/yellow.png	(from http://demo.themeforshop.com/html_fastfood/)
18:51:51	75749/75749	---M--	200	added ('OK')	image/png	etag:%22127e5-58a21877f6038%22	http://demo.themeforshop.com/html_fastfood/assets/images/bg_footer.png	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/bg_footer.png	(from http://demo.themeforshop.com/html_fastfood/)
18:51:52	785/785	---M--	200	added ('OK')	image/svg+xml	etag:%22311-58a21877ca8e8%22	http://demo.themeforshop.com/html_fastfood/assets/images/ico-select.svg	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/ico-select.svg	(from http://demo.themeforshop.com/html_fastfood/assets/stylesheets/cs.styles.css)
18:51:54	2970/2970	---M--	200	added ('OK')	image/png	etag:%22b9a-58a21877e6a20%22	http://demo.themeforshop.com/html_fastfood/assets/images/body_bg.png	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/body_bg.png	(from http://demo.themeforshop.com/html_fastfood/assets/stylesheets/cs.styles.css)
18:51:55	201/201	---M--	200	added ('OK')	image/png	etag:%22c9-58a21877d83a8%22	http://demo.themeforshop.com/html_fastfood/assets/images/bg_none_check.png	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/bg_none_check.png	(from http://demo.themeforshop.com/html_fastfood/assets/stylesheets/cs.styles.css)
18:51:55	55820/55820	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%22eca085a388331445b2914d18ec98276b%22	https://cdn.linearicons.com/free/1.0.0/Linearicons-Free.eot	C:/My%20Web%20Sites/web/cdn.linearicons.com/free/1.0.0/Linearicons-Free.eot	(from https://cdn.linearicons.com/free/1.0.0/icon-font.min.css)
18:51:55	238/238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Oct%202020%2011:51:40%20GMT	http://demo.themeforshop.com/html_fastfood/assets/images/bg_check.png	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/bg_check.6a.delayed	(from http://demo.themeforshop.com/html_fastfood/assets/stylesheets/cs.styles.css)
18:51:56	1445/1445	---M--	200	added ('OK')	image/png	etag:%225a5-58a21877dd998%22	http://demo.themeforshop.com/html_fastfood/assets/images/bg_alert_success_icon.png	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/bg_alert_success_icon.png	(from http://demo.themeforshop.com/html_fastfood/assets/stylesheets/cs.styles.css)
18:51:56	1461/1461	---M--	200	added ('OK')	image/png	etag:%225b5-58a21877d9f00%22	http://demo.themeforshop.com/html_fastfood/assets/images/bg_alert_notice_icon.png	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/bg_alert_notice_icon.png	(from http://demo.themeforshop.com/html_fastfood/assets/stylesheets/cs.styles.css)
18:51:57	1450/1450	---M--	200	added ('OK')	image/png	etag:%225aa-58a21877bca40%22	http://demo.themeforshop.com/html_fastfood/assets/images/bg_alert_failure_icon.png	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/bg_alert_failure_icon.png	(from http://demo.themeforshop.com/html_fastfood/assets/stylesheets/cs.styles.css)
18:51:58	1916/1916	---M--	200	added ('OK')	image/png	etag:%2277c-58a21877dd1c8%22	http://demo.themeforshop.com/html_fastfood/assets/images/bg_addtocart_icon.png	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/bg_addtocart_icon.png	(from http://demo.themeforshop.com/html_fastfood/assets/stylesheets/cs.styles.css)
18:51:58	444/444	---M--	200	added ('OK')	image/png	etag:%221bc-58a21877e75d8%22	http://demo.themeforshop.com/html_fastfood/assets/images/line-btn.png	C:/My%20Web%20Sites/web/demo.themeforshop.com/html_fastfood/assets/images/line-btn.png	(from http://demo.themeforshop.com/html_fastfood/assets/stylesheets/cs.styles.css)
